umolghr	pH	Location	Coral	Jar	Week
-0.42404639	L	HU	30	4	1
-0.462225482	L	HU	35	4	1
-0.472968788	L	HU	29	6	1
-0.299907306	L	HU	42	6	1
-0.264384245	L	HU	34	5	1
-0.159269017	L	HU	38	5	1
-0.324036837	L	HU	40	4	1
-0.520145696	L	HU	31	5	1
-0.289851417	L	HU	52	6	1
-1.460348064	H	HU	32	7	1
-2.667304206	H	HU	39	7	1
-0.281959706	H	HU	36	8	1
-0.253841945	H	HU	37	8	1
-0.405649642	H	HU	28	9	1
-0.508063765	H	HU	33	9	1
-0.299981404	H	HU	50	7	1
-0.353633651	H	HU	43	8	1
-0.277843746	H	HU	51	9	1
-0.339870318	L	LU	18	1	1
-0.742328415	L	LU	13	1	1
-0.511839007	L	LU	4	2	1
-1.156389358	L	LU	8	2	1
-0.542665859	L	LU	6	3	1
-0.471273958	L	LU	5	3	1
-0.20771391	L	LU	23	1	1
-0.679537871	L	LU	15	2	1
-0.196562766	L	LU	2	3	1
-0.127632679	H	LU	20	10	1
-0.07111977	H	LU	21	10	1
-0.521978598	H	LU	19	11	1
-0.558604028	H	LU	10	11	1
-1.341004538	H	LU	12	12	1
-0.18916494	H	LU	11	12	1
-0.458664105	H	LU	1	10	1
-0.363417941	H	LU	9	11	1
-0.189454657	H	LU	3	12	1
-0.60604153	L	HU	30	4	4
-0.28704413	L	HU	35	4	4
-0.29993385	L	HU	29	6	4
-0.23282134	L	HU	42	6	4
-0.39867812	L	HU	34	5	4
-0.54777424	L	HU	38	5	4
-0.91420702	L	HU	40	4	4
-0.28082292	L	HU	31	5	4
-0.47488153	L	HU	52	6	4
-1.91027068	H	HU	32	7	4
-2.35764257	H	HU	39	7	4
-0.43073652	H	HU	36	8	4
-0.28561805	H	HU	37	8	4
-0.47168118	H	HU	28	9	4
-0.4420282	H	HU	33	9	4
-0.2691089	H	HU	50	7	4
-0.37477169	H	HU	43	8	4
-0.34533452	H	HU	51	9	4
-0.19268129	L	LU	18	1	4
-0.17982958	L	LU	13	1	4
-0.17344783	L	LU	4	2	4
-0.00968161	L	LU	8	2	4
-0.74972206	L	LU	6	3	4
-0.1559528	L	LU	5	3	4
-0.29510574	L	LU	23	1	4
-0.33331456	L	LU	15	2	4
-0.06277166	L	LU	2	3	4
-0.10450516	H	LU	20	10	4
-0.04109142	H	LU	21	10	4
-0.50156186	H	LU	19	11	4
-0.54407387	H	LU	10	11	4
-0.61072644	H	LU	12	12	4
-0.42891611	H	LU	11	12	4
-0.18717948	H	LU	1	10	4
-0.33439329	H	LU	9	11	4
-0.28900688	H	LU	3	12	4
