Coral,Jar,pH,Location,umolghr
4,1,L,HU,-0.42404639
1,1,L,HU,-0.462225482
3,3,L,HU,-0.472968788
2,3,L,HU,-0.299907306
2,2,L,HU,-0.264384245
3,2,L,HU,-0.159269017
2,1,L,HU,-0.324036837
1,2,L,HU,-0.520145696
1,3,L,HU,-0.289851417
1,1,H,HU,-1.460348064
2,1,H,HU,-2.667304206
1,2,H,HU,-0.281959706
2,2,H,HU,-0.253841945
1,3,H,HU,-0.405649642
2,3,H,HU,-0.508063765
3,1,H,HU,-0.299981404
3,2,H,HU,-0.353633651
3,3,H,HU,-0.277843746
1,1,L,LU,-0.339870318
2,1,L,LU,-0.742328415
1,2,L,LU,-0.511839007
3,2,L,LU,-1.156389358
2,3,L,LU,-0.542665859
1,3,L,LU,-0.471273958
3,1,L,LU,-0.20771391
4,2,L,LU,-0.679537871
3,3,L,LU,-0.196562766
4,1,H,LU,-0.127632679
3,1,H,LU,-0.07111977
2,2,H,LU,-0.521978598
4,2,H,LU,-0.558604028
1,3,H,LU,-1.341004538
3,3,H,LU,-0.18916494
1,1,H,LU,-0.458664105
3,2,H,LU,-0.363417941
4,3,H,LU,-0.189454657
