	POP	TREATMENT	TP	condition	TREATTP
G1L1	g	L	one	GL1	L1
G2L1	g	L	one	GL1	L1
P1L1	b	L	one	BL1	L1
P2L1	b	L	one	BL1	L1
G1H1	g	H	one	GH1	H1
G2H1	g	H	one	GH1	H1
P1H1	b	H	one	BH1	H1
P2H1	b	H	one	BH1	H1
G3L1	g	L	one	GL1	L1
P3L1	b	L	one	BL1	L1
G3H1	g	H	one	GH1	H1
P3H1	b	H	one	BH1	H1
G1L2	g	L	two	GL2	L2
G2L2	g	L	two	GL2	L2
P1L2	b	L	two	BL2	L2
P2L2	b	L	two	BL2	L2
G1H2	g	H	two	GH2	H2
G2H2	g	H	two	GH2	H2
P1H2	b	H	two	BH2	H2
P2H2	b	H	two	BH2	H2
G3L2	g	L	two	GL2	L2
P3L2	b	L	two	BL2	L2
G3H2	g	H	two	GH2	H2
P3H2	b	H	two	BH2	H2
