pH	Location	Coral	Jar	waxester	triacylglycerol	fattyacid	sterol	phospholipid	lipid	protein	Dry_weight	soluble_weight
L	B	30	4	48	47	25	15	95	230	302	159	32
L	B	29	6	51	40	39	15	167	312	237	72	6
L	B	42	6	97	85	48	15	134	379	270	134	6
L	B	34	5	108	70	112	34	325	649	962	185	4
L	B	38	5	19	11	33	14	83	160	507	79	6
L	B	40	4	16	8	12	2	106	144	140	25	2
L	B	31	5	25	12	59	15	169	280	150	168	14
L	B	52	6	22	21	52	8	107	210	182	143	9
H	B	32	7	304	46	30	14	254	648	207	278	21
H	B	39	7	34	13	27	10	103	187	133	130	7
H	B	36	8	160	80	80	10	238	568	119	125	6
H	B	37	8	192	129	45	13	158	537	283	130	23
H	B	28	9	10	3	5	9	45	72	53	155	7
H	B	33	9	32	8	60	15	155	270	373	130	8
H	B	50	7	7	117	56	26	132	338	443	239	32
H	B	43	8	59	39	33	7	184	322	450	227	14
H	B	51	9	3	33	33	11	91	171	320	153	11
L	G	18	1	5	0	0	13	53	71	210	192	12
L	G	13	1	0	9	16	7	132	164	114	89	9
L	G	4	2	31	0	5	7	100	143	16	94	11
L	G	8	2	6	4	13	6	16	45	376	111	5
L	G	6	3	11	12	37	20	54	134	297	62	4
L	G	23	1	7	23	23	0	362	415	101	105	6
L	G	2	3	0	11	23	19	128	181	117	285	16
H	G	20	10	15	9	32	10	388	454	142	177	10
H	G	21	10	34	8	26	2	178	248	394	54	4
H	G	19	11	20	13	20	8	97	158	165	44	4
H	G	10	11	9	4	14	12	102	141	176	141	7
H	G	12	12	0	0	44	18	224	286	54	92	4
H	G	11	12	4	5	38	18	112	177	300	125	20
H	G	1	1	24	20	43	21	142	250	126	312	39
H	G	9	11	2	10	40	23	183	258	291	134	23
H	G	3	12	8	10	14	13	79	124	149	208	13
L	G	7	2	15	5	7	4	152	183	8	154	7
H	G	24	11	16	11	22	23	332	404	365	103	14
L	G	27	1	6	2	20	3	170	201	82	98	6
