OG0034696	GO:0002161;GO:0005737;GO:0051499
OG0030438	GO:0008080
OG0005234	GO:0003824;GO:0004555;GO:0005991
OG0019700	GO:0005515
OG0016490	GO:0003700;GO:0006355;GO:0043565;GO:0008134;GO:0019904
OG0024657	GO:0005515
OG0033617	GO:0006412
OG0010949	GO:0005515
OG0032701	GO:0004930;GO:0007186;GO:0016021
OG0024310	GO:0005515
OG0000937	GO:0008234
OG0005761	GO:0005215;GO:0006810;GO:0016020
OG0011140	GO:0017176
OG0013081	GO:0005215;GO:0006810;GO:0016020
OG0013322	GO:0005509
OG0033762	GO:0005515
OG0010697	GO:0003677
OG0008807	GO:0003676;GO:0015074
OG0004922	GO:0005515
OG0009268	GO:0005488
OG0003612	GO:0003723;GO:0003676
OG0014150	GO:0004930;GO:0007186;GO:0016021
OG0006767	GO:0003824;GO:0005524;GO:0006003;GO:0003873;GO:0006000
OG0036589	GO:0008519;GO:0015696;GO:0016020
OG0034398	GO:0005515
OG0003620	GO:0005515
OG0016398	GO:0003677;GO:0003899;GO:0006351
OG0006640	GO:0016021;GO:0055085
OG0025990	GO:0016020;GO:0055085
OG0032859	GO:0008376;GO:0032580
OG0027717	GO:0004252;GO:0006508
OG0004327	GO:0008168
OG0017968	GO:0005515
OG0002836	GO:0004725;GO:0005622;GO:0006470;GO:1902751
OG0031095	GO:0006812;GO:0015299;GO:0016021;GO:0055085
OG0014962	GO:0010181;GO:0016491;GO:0055114;GO:0003824
OG0026536	GO:0000287;GO:0004749;GO:0009165;GO:0009116
OG0026380	GO:0003676;GO:0000166;GO:0003677;GO:0003887;GO:0006260;GO:0008408
OG0016853	GO:0016021
OG0017334	GO:0055114
OG0011110	GO:0004022;GO:0008152;GO:0055114
OG0003614	GO:0003950;GO:0006471;GO:0003677;GO:0008270
OG0013025	GO:0008152;GO:0016746
OG0003846	GO:0005515
OG0002645	GO:0004252;GO:0006508
OG0008854	GO:0001733;GO:0005794;GO:0009247;GO:0016021
OG0003651	GO:0006508;GO:0004222;GO:0008237
OG0006170	GO:0005506;GO:0016705;GO:0020037;GO:0055114
OG0004600	GO:0005515;GO:0005509
OG0033423	GO:0016021;GO:0016192
OG0035381	GO:0003924;GO:0005525
OG0036777	GO:0016787
OG0018677	GO:0005515
OG0010275	GO:0008152;GO:0016829;GO:0003824
OG0025481	GO:0008168;GO:0016706;GO:0055114
OG0003397	GO:0005215;GO:0006810;GO:0016020;GO:0055085
OG0020375	GO:0005737;GO:0006629;GO:0016021;GO:0016627
OG0032492	GO:0016747
OG0001319	GO:0003676
OG0015158	GO:0005524;GO:0016887
OG0020798	GO:0016021
OG0021831	GO:0003682;GO:0007219;GO:0045892
OG0007687	GO:0005515
OG0008675	GO:0004674
OG0034689	GO:0004672;GO:0005524;GO:0006468
OG0025111	GO:0005484;GO:0005794;GO:0006810
OG0028518	GO:0006629;GO:0008081
OG0001202	GO:0003723;GO:0003735;GO:0005840;GO:0006412;GO:0015935
OG0004348	GO:0003993
OG0010192	GO:0003676
OG0025360	GO:0005328;GO:0006836;GO:0016021
OG0018843	GO:0003899;GO:0006351;GO:0003676
OG0020494	GO:0004332;GO:0006096;GO:0003824
OG0025942	GO:0034316;GO:0071933;GO:0003779;GO:0005622
OG0000919	GO:0005215;GO:0006810;GO:0016020;GO:0005515
OG0024676	GO:0005524
OG0009091	GO:0016020;GO:0016192
OG0034584	GO:0003824;GO:0008152;GO:0008484
OG0004539	GO:0003735;GO:0005840;GO:0006412;GO:0005622
OG0008801	GO:0016020
OG0031831	GO:0005515
OG0008303	GO:0003676;GO:0015074
OG0029702	GO:0005509;GO:0005783;GO:0006457;GO:0051082;GO:0005515
OG0035564	GO:0005515
OG0033599	GO:0046983
OG0006789	GO:0003676;GO:0015074
OG0037407	GO:0003735;GO:0005840;GO:0006412
OG0010515	GO:0003677
OG0018207	GO:0005515;GO:0005488
OG0017684	GO:0003677
OG0000767	GO:0005515
OG0010413	GO:0003824;GO:0050660;GO:0055114;GO:0016491;GO:0016614
OG0012967	GO:0003676;GO:0005524
OG0025276	GO:0005506;GO:0016705;GO:0020037;GO:0055114
OG0037261	GO:0005319;GO:0006869
OG0032471	GO:0005524;GO:0006810;GO:0016021;GO:0042626;GO:0055085;GO:0016887
OG0033505	GO:0003676
OG0023817	GO:0003676;GO:0008270
OG0037080	GO:0003676;GO:0003723
OG0027638	GO:0004857
OG0034685	GO:0005506;GO:0008610;GO:0016491;GO:0055114
OG0022595	GO:0008152;GO:0016491;GO:0055114
OG0006309	GO:0005515
OG0019090	GO:0004930;GO:0007186;GO:0016021
OG0009211	GO:0004930;GO:0007186;GO:0016021
OG0019240	GO:0007155;GO:0030246
OG0009924	GO:0005515
OG0002326	GO:0006508;GO:0008234
OG0030272	GO:0003676;GO:0008270
OG0037529	GO:0005216;GO:0006811;GO:0016020;GO:0055085
OG0021120	GO:0004252;GO:0006508
OG0002194	GO:0005272;GO:0006814;GO:0016020
OG0014306	GO:0003824;GO:0008152
OG0018800	GO:0005509;GO:0005576;GO:0007160
OG0022455	GO:0004364;GO:0008152;GO:0005515
OG0026111	GO:0005524;GO:0006457;GO:0051082
OG0011341	GO:0016021;GO:0055085;GO:0006508;GO:0008234
OG0022528	GO:0003677;GO:0003887;GO:0005634;GO:0034061;GO:0006281
OG0001329	GO:0005524
OG0029783	GO:0005515
OG0000042	GO:0003824;GO:0016301;GO:0016772
OG0013366	GO:0005506;GO:0016705;GO:0020037;GO:0055114
OG0019938	GO:0004190;GO:0016021
OG0004993	GO:0005525;GO:0003924
OG0002994	GO:0005515
OG0035438	GO:0003676
OG0024477	GO:0000439;GO:0006289;GO:0006355
OG0008742	GO:0005515
OG0037503	GO:0003746;GO:0006414
OG0031183	GO:0003676;GO:0008270
OG0012334	GO:0004930;GO:0007186;GO:0016021
OG0002167	GO:0003700;GO:0006355;GO:0043565
OG0020466	GO:0016021
OG0011912	GO:0005515
OG0011927	GO:0003824;GO:0046872
OG0033738	GO:0005515
OG0003680	GO:0004725;GO:0006470
OG0031437	GO:0005506;GO:0016705;GO:0020037;GO:0055114
OG0027256	GO:0016301;GO:0016772
OG0007024	GO:0004672;GO:0006468;GO:0004713;GO:0005515
OG0027733	GO:0006412;GO:0003735;GO:0015935
OG0018001	GO:0005515
OG0002427	GO:0016757
OG0012572	GO:0003824
OG0037133	GO:0005515
OG0020669	GO:0004842
OG0023118	GO:0005261;GO:0015672;GO:0016020
OG0020294	GO:0004672;GO:0005524;GO:0006468
OG0028267	GO:0005515;GO:0004222;GO:0006508;GO:0008237;GO:0008270
OG0031790	GO:0003824
